Date,PHU_num,One_dose_percentage
2021-12-04,2227,82.76
2021-12-05,2226,84.14
2021-12-05,2227,82.89
2021-12-06,2226,84.16
2021-12-06,2227,82.91
2021-12-07,2226,84.28
2021-12-07,2227,83.05
2021-12-08,2226,84.47
2021-12-08,2227,83.17
2021-12-09,2226,84.68
2021-12-09,2227,83.31
2021-12-10,2226,84.85
2021-12-10,2227,83.41
2021-12-11,2226,84.94
2021-12-11,2227,83.58
2021-12-12,2226,85.16
2021-12-12,2227,83.66
2021-12-13,2226,85.17
2021-12-13,2227,83.67
2021-12-14,2226,85.22
2021-12-14,2227,83.74
2021-12-15,2226,85.27
2021-12-15,2227,83.8
2021-12-16,2226,85.45
2021-12-16,2227,83.88
2021-12-17,2226,85.52
2021-12-17,2227,83.93
2021-12-18,2226,85.62
2021-12-18,2227,84.02
2021-12-19,2226,85.73
2021-12-19,2227,84.11
2021-12-20,2226,85.75
2021-12-20,2227,84.11
2021-12-21,2226,85.81
2021-12-21,2227,84.21
2021-12-22,2226,85.89
2021-12-22,2227,84.29
2021-12-23,2226,85.98
2021-12-23,2227,84.39
2021-12-24,2226,86.04
2021-12-24,2227,84.44
2021-12-25,2226,86.05
2021-12-25,2227,84.45
2021-12-26,2226,86.05
2021-12-26,2227,84.45
2021-12-27,2226,86.05
2021-12-27,2227,84.45
2021-12-28,2226,86.11
2021-12-28,2227,84.47
2021-12-29,2226,86.17
2021-12-29,2227,84.53
2021-12-30,2226,86.22
2021-12-30,2227,84.63
2021-12-31,2226,86.27
2021-12-31,2227,84.68
2022-01-01,2226,86.28
2022-01-01,2227,84.71
2022-01-02,2226,86.28
2022-01-02,2227,84.71
2022-01-03,2226,86.28
2022-01-03,2227,84.72
2022-01-04,2226,86.32
2022-01-04,2227,84.73
2022-01-05,2226,86.37
2022-01-05,2227,84.83
2022-01-06,2226,86.44
2022-01-06,2227,84.91
2022-01-07,2226,86.6
2022-01-07,2227,84.98
2022-01-08,2226,86.64
2022-01-08,2227,85.05
2022-01-09,2226,86.65
2022-01-09,2227,85.06
2022-01-10,2226,86.66
2022-01-10,2227,85.07
2022-01-11,2226,86.7
2022-01-11,2227,85.15
2022-01-12,2226,86.77
2022-01-12,2227,85.24
2022-01-13,2226,86.91
2022-01-13,2227,85.37
2022-01-14,2226,87.03
2022-01-14,2227,85.48
2022-01-15,2226,87.16
2022-01-15,2227,85.61
2022-01-16,2226,87.19
2022-01-16,2227,85.69
2022-01-17,2226,87.2
2022-01-17,2227,85.69
2022-01-18,2226,87.26
2022-01-18,2227,85.74
2022-01-19,2226,87.38
2022-01-19,2227,85.83
2022-01-20,2226,87.42
2022-01-20,2227,85.92
2022-01-21,2226,87.52
2022-01-21,2227,86.01
2022-01-22,2226,87.57
2022-01-22,2227,86.11
2022-01-23,2226,87.59
2022-01-23,2227,86.14
2022-01-24,2226,87.59
2022-01-24,2227,86.14
2022-01-25,2226,87.64
2022-01-25,2227,86.17
2022-01-26,2226,87.71
2022-01-26,2227,86.2
2022-01-27,2226,87.75
2022-01-27,2227,86.24
2022-01-28,2226,87.77
2022-01-28,2227,86.28
2022-01-29,2226,87.8
2022-01-29,2227,86.33
2022-01-30,2226,87.81
2022-01-30,2227,86.36
2022-01-31,2226,87.81
2022-01-31,2227,86.36
2022-02-01,2226,87.83
2022-02-01,2227,86.39
2022-02-02,2226,87.87
2022-02-02,2227,86.43
2022-02-03,2226,87.94
2022-02-03,2227,86.46
2022-02-04,2226,87.98
2022-02-04,2227,86.49
2022-02-05,2226,88.06
2022-02-05,2227,86.52
2022-02-06,2226,88.09
2022-02-06,2227,86.54
2022-02-07,2226,88.09
2022-02-07,2227,86.54
2022-02-08,2226,88.1
2022-02-08,2227,86.57
2022-02-09,2226,88.15
2022-02-09,2227,86.62
2022-02-10,2226,88.2
2022-02-10,2227,86.65
2022-02-11,2226,88.23
2022-02-11,2227,86.68
2022-02-12,2226,88.26
2022-02-12,2227,86.73
2022-02-13,2226,88.27
2022-02-13,2227,86.75
2022-02-14,2226,88.31
2022-02-14,2227,86.78
2022-02-15,2226,88.32
2022-02-15,2227,86.79
2022-02-16,2226,88.33
2022-02-16,2227,86.81
2022-02-17,2226,88.35
2022-02-17,2227,86.82
2022-02-18,2226,88.36
2022-02-18,2227,86.82
2022-02-19,2226,88.38
2022-02-19,2227,86.83
2022-02-20,2226,88.4
2022-02-20,2227,86.84
2022-02-21,2226,88.4
2022-02-21,2227,86.84
2022-02-22,2226,88.4
2022-02-22,2227,86.85
2022-02-23,2226,88.42
2022-02-23,2227,86.86
2022-02-24,2226,88.43
2022-02-24,2227,86.87
2022-02-25,2226,88.45
2022-02-25,2227,86.88
2022-02-26,2226,88.46
2022-02-26,2227,86.89
2022-02-27,2226,88.48
2022-02-27,2227,86.9
2022-02-28,2226,88.48
2022-02-28,2227,86.9
2022-03-01,2226,88.49
2022-03-01,2227,86.91
2022-03-02,2226,88.49
2022-03-02,2227,86.92
2022-03-03,2226,88.5
2022-03-03,2227,86.93
2022-03-04,2226,88.51
2022-03-04,2227,86.94
2022-03-05,2226,88.52
2022-03-05,2227,86.96
2022-03-06,2226,88.52
2022-03-06,2227,86.96
2022-03-07,2226,88.52
2022-03-07,2227,86.96
2022-03-08,2226,88.52
2022-03-08,2227,86.96
2022-03-09,2226,88.53
2022-03-09,2227,86.97
2022-03-10,2226,88.53
2022-03-10,2227,86.97
2022-03-11,2226,88.54
2022-03-11,2227,86.98
2022-03-12,2226,88.54
2022-03-12,2227,86.99
2022-03-13,2226,88.54
2022-03-13,2227,87.0
