Date,age group,one dose cumulative
2021-08-19,18-29yrs,246844
2021-08-19,30-39yrs,176860
2021-08-19,40-49yrs,166962
2021-08-19,50-59yrs,182986
2021-08-19,60-69yrs,146472
2021-08-19,70-79yrs,89346
2021-08-19,80+,47776
2021-08-20,12-17yrs,80329
2021-08-20,18-29yrs,247260
2021-08-20,30-39yrs,177061
2021-08-20,40-49yrs,167129
2021-08-20,50-59yrs,183086
2021-08-20,60-69yrs,146558
2021-08-20,70-79yrs,89396
2021-08-20,80+,47778
2021-08-21,12-17yrs,80667
2021-08-21,18-29yrs,247644
2021-08-21,30-39yrs,177263
2021-08-21,40-49yrs,167279
2021-08-21,50-59yrs,183202
2021-08-21,60-69yrs,146619
2021-08-21,70-79yrs,89427
2021-08-21,80+,47782
2021-08-22,12-17yrs,81044
2021-08-22,18-29yrs,248089
2021-08-22,30-39yrs,177521
2021-08-22,40-49yrs,167433
2021-08-22,50-59yrs,183340
2021-08-22,60-69yrs,146682
2021-08-22,70-79yrs,89455
2021-08-22,80+,47791
2021-08-23,12-17yrs,81329
2021-08-23,18-29yrs,248369
2021-08-23,30-39yrs,177668
2021-08-23,40-49yrs,167562
2021-08-23,50-59yrs,183421
2021-08-23,60-69yrs,146723
2021-08-23,70-79yrs,89470
2021-08-23,80+,47796
2021-08-24,12-17yrs,81697
2021-08-24,18-29yrs,248751
2021-08-24,30-39yrs,177904
2021-08-24,40-49yrs,167712
2021-08-24,50-59yrs,183530
2021-08-24,60-69yrs,146778
2021-08-24,70-79yrs,89496
2021-08-24,80+,47805
2021-08-25,12-17yrs,82043
2021-08-25,18-29yrs,249118
2021-08-25,30-39yrs,178144
2021-08-25,40-49yrs,167869
2021-08-25,50-59yrs,183654
2021-08-25,60-69yrs,146848
2021-08-25,70-79yrs,89523
2021-08-25,80+,47819
2021-08-26,12-17yrs,82327
2021-08-26,18-29yrs,249504
2021-08-26,30-39yrs,178378
2021-08-26,40-49yrs,168033
2021-08-26,50-59yrs,183753
2021-08-26,60-69yrs,146906
2021-08-26,70-79yrs,89549
2021-08-26,80+,47836
2021-08-27,12-17yrs,82556
2021-08-27,18-29yrs,249888
2021-08-27,30-39yrs,178589
2021-08-27,40-49yrs,168177
2021-08-27,50-59yrs,183877
2021-08-27,60-69yrs,146983
2021-08-27,70-79yrs,89575
2021-08-27,80+,47853
2021-08-28,12-17yrs,82820
2021-08-28,18-29yrs,250272
2021-08-28,30-39yrs,178867
2021-08-28,40-49yrs,168358
2021-08-28,50-59yrs,183991
2021-08-28,60-69yrs,147065
2021-08-28,70-79yrs,89603
2021-08-28,80+,47868
2021-08-29,12-17yrs,83060
2021-08-29,18-29yrs,250724
2021-08-29,30-39yrs,179136
2021-08-29,40-49yrs,168497
2021-08-29,50-59yrs,184109
2021-08-29,60-69yrs,147125
2021-08-29,70-79yrs,89623
2021-08-29,80+,47871
2021-08-30,12-17yrs,83314
2021-08-30,18-29yrs,251038
2021-08-30,30-39yrs,179318
2021-08-30,40-49yrs,168597
2021-08-30,50-59yrs,184180
2021-08-30,60-69yrs,147161
2021-08-30,70-79yrs,89640
2021-08-30,80+,47875
2021-08-31,12-17yrs,83598
2021-08-31,18-29yrs,251466
2021-08-31,30-39yrs,179517
2021-08-31,40-49yrs,168769
2021-08-31,50-59yrs,184283
2021-08-31,60-69yrs,147224
2021-08-31,70-79yrs,89661
2021-08-31,80+,47884
2021-09-01,12-17yrs,83860
2021-09-01,18-29yrs,251837
2021-09-01,30-39yrs,179753
2021-09-01,40-49yrs,168920
2021-09-01,50-59yrs,184391
2021-09-01,60-69yrs,147299
2021-09-01,70-79yrs,89679
2021-09-01,80+,47895
2021-09-02,12-17yrs,84103
2021-09-02,18-29yrs,252322
2021-09-02,30-39yrs,180027
2021-09-02,40-49yrs,169060
2021-09-02,50-59yrs,184513
2021-09-02,60-69yrs,147361
2021-09-02,70-79yrs,89710
2021-09-02,80+,47909
2021-09-03,12-17yrs,84431
2021-09-03,18-29yrs,252998
2021-09-03,30-39yrs,180410
2021-09-03,40-49yrs,169298
2021-09-03,50-59yrs,184646
2021-09-03,60-69yrs,147436
2021-09-03,70-79yrs,89741
2021-09-03,80+,47920
2021-09-04,12-17yrs,84760
2021-09-04,18-29yrs,253693
2021-09-04,30-39yrs,180758
2021-09-04,40-49yrs,169397
2021-09-04,50-59yrs,184696
2021-09-04,60-69yrs,147516
2021-09-04,70-79yrs,89773
2021-09-04,80+,47886
2021-09-05,12-17yrs,85066
2021-09-05,18-29yrs,254474
2021-09-05,30-39yrs,181087
2021-09-05,40-49yrs,169615
2021-09-05,50-59yrs,184880
2021-09-05,60-69yrs,147604
2021-09-05,70-79yrs,89803
2021-09-05,80+,47895
2021-09-06,12-17yrs,85317
2021-09-06,18-29yrs,255161
2021-09-06,30-39yrs,181362
2021-09-06,40-49yrs,169821
