2021-08-17,18-29yrs,1935
2021-08-17,30-39yrs,1261
2021-08-17,40-49yrs,698
2021-08-17,50-59yrs,666
2021-08-17,60-69yrs,650
2021-08-17,70-79yrs,259
2021-08-17,80+,60
2021-08-18,12-17yrs,338
2021-08-18,18-29yrs,1973
2021-08-18,30-39yrs,1281
2021-08-18,40-49yrs,713
2021-08-18,50-59yrs,674
2021-08-18,60-69yrs,659
2021-08-18,70-79yrs,259
2021-08-18,80+,63
2021-08-19,12-17yrs,344
2021-08-19,18-29yrs,1995
2021-08-19,30-39yrs,1294
2021-08-19,40-49yrs,720
2021-08-19,50-59yrs,676
2021-08-19,60-69yrs,663
2021-08-19,70-79yrs,262
2021-08-19,80+,64
2021-08-20,12-17yrs,348
2021-08-20,18-29yrs,2023
2021-08-20,30-39yrs,1308
2021-08-20,40-49yrs,725
2021-08-20,50-59yrs,683
2021-08-20,60-69yrs,662
2021-08-20,70-79yrs,265
2021-08-20,80+,63
2021-08-21,12-17yrs,347
2021-08-21,18-29yrs,2046
2021-08-21,30-39yrs,1325
2021-08-21,40-49yrs,738
2021-08-21,50-59yrs,694
2021-08-21,60-69yrs,665
2021-08-21,70-79yrs,263
2021-08-21,80+,62
2021-08-22,12-17yrs,347
2021-08-22,18-29yrs,2045
2021-08-22,30-39yrs,1328
2021-08-22,40-49yrs,739
2021-08-22,50-59yrs,696
2021-08-22,60-69yrs,665
2021-08-22,70-79yrs,265
2021-08-22,80+,62
2021-08-23,12-17yrs,348
2021-08-23,18-29yrs,2048
2021-08-23,30-39yrs,1329
2021-08-23,40-49yrs,740
2021-08-23,50-59yrs,695
2021-08-23,60-69yrs,665
2021-08-23,70-79yrs,265
2021-08-23,80+,62
2021-08-24,12-17yrs,353
2021-08-24,18-29yrs,2061
2021-08-24,30-39yrs,1335
2021-08-24,40-49yrs,744
2021-08-24,50-59yrs,698
2021-08-24,60-69yrs,664
2021-08-24,70-79yrs,268
2021-08-24,80+,62
2021-08-25,12-17yrs,355
2021-08-25,18-29yrs,2096
2021-08-25,30-39yrs,1345
2021-08-25,40-49yrs,752
2021-08-25,50-59yrs,708
2021-08-25,60-69yrs,661
2021-08-25,70-79yrs,268
2021-08-25,80+,62
2021-08-26,12-17yrs,365
2021-08-26,18-29yrs,2142
2021-08-26,30-39yrs,1366
2021-08-26,40-49yrs,777
2021-08-26,50-59yrs,718
2021-08-26,60-69yrs,669
2021-08-26,70-79yrs,271
2021-08-26,80+,61
2021-08-27,12-17yrs,366
2021-08-27,18-29yrs,2171
2021-08-27,30-39yrs,1376
2021-08-27,40-49yrs,783
2021-08-27,50-59yrs,721
2021-08-27,60-69yrs,671
2021-08-27,70-79yrs,271
2021-08-27,80+,63
2021-08-28,12-17yrs,368
2021-08-28,18-29yrs,2198
2021-08-28,30-39yrs,1389
2021-08-28,40-49yrs,793
2021-08-28,50-59yrs,727
2021-08-28,60-69yrs,674
2021-08-28,70-79yrs,272
2021-08-28,80+,63
2021-08-29,12-17yrs,368
2021-08-29,18-29yrs,2191
2021-08-29,30-39yrs,1388
2021-08-29,40-49yrs,797
2021-08-29,50-59yrs,730
2021-08-29,60-69yrs,677
2021-08-29,70-79yrs,273
2021-08-29,80+,63
2021-08-30,12-17yrs,372
2021-08-30,18-29yrs,2210
2021-08-30,30-39yrs,1399
2021-08-30,40-49yrs,808
2021-08-30,50-59yrs,736
2021-08-30,60-69yrs,679
2021-08-30,70-79yrs,273
2021-08-30,80+,63
2021-08-31,12-17yrs,379
2021-08-31,18-29yrs,2287
2021-08-31,30-39yrs,1407
2021-08-31,40-49yrs,816
2021-08-31,50-59yrs,737
2021-08-31,60-69yrs,681
2021-08-31,70-79yrs,275
2021-08-31,80+,64
2021-09-01,12-17yrs,378
2021-09-01,18-29yrs,2346
2021-09-01,30-39yrs,1426
2021-09-01,40-49yrs,833
2021-09-01,50-59yrs,749
2021-09-01,60-69yrs,685
2021-09-01,70-79yrs,277
2021-09-01,80+,63
2021-09-02,12-17yrs,385
2021-09-02,18-29yrs,2408
2021-09-02,30-39yrs,1446
2021-09-02,40-49yrs,855
2021-09-02,50-59yrs,760
2021-09-02,60-69yrs,694
2021-09-02,70-79yrs,276
2021-09-02,80+,63
2021-09-03,12-17yrs,390
2021-09-03,18-29yrs,2495
2021-09-03,30-39yrs,1471
2021-09-03,40-49yrs,864
2021-09-03,50-59yrs,770
2021-09-03,60-69yrs,701
2021-09-03,70-79yrs,276
2021-09-03,80+,63
2021-09-04,12-17yrs,402
2021-09-04,18-29yrs,2534
2021-09-04,30-39yrs,1507
2021-09-04,40-49yrs,866
2021-09-04,50-59yrs,756
2021-09-04,60-69yrs,689
2021-09-04,70-79yrs,265
2021-09-04,80+,62
2021-09-05,12-17yrs,402
2021-09-05,18-29yrs,2542
2021-09-05,30-39yrs,1505
2021-09-05,40-49yrs,865
2021-09-05,50-59yrs,753
2021-09-05,60-69yrs,687
2021-09-05,70-79yrs,265
2021-09-05,80+,62
2021-09-06,12-17yrs,406
2021-09-06,18-29yrs,2576
2021-09-06,30-39yrs,1512
2021-09-06,40-49yrs,872
2021-09-06,50-59yrs,759
2021-09-06,60-69yrs,686
2021-09-06,70-79yrs,266
2021-09-06,80+,62
2021-09-07,12-17yrs,412
2021-09-07,18-29yrs,2610
2021-09-07,30-39yrs,1526
2021-09-07,40-49yrs,876
2021-09-07,50-59yrs,768
2021-09-07,60-69yrs,691
2021-09-07,70-79yrs,269
2021-09-07,80+,62
2021-09-08,12-17yrs,424
2021-09-08,18-29yrs,2702
2021-09-08,30-39yrs,1583
2021-09-08,40-49yrs,912
2021-09-08,50-59yrs,788
2021-09-08,60-69yrs,705
2021-09-08,70-79yrs,273
2021-09-08,80+,62
2021-09-09,12-17yrs,431
2021-09-09,18-29yrs,2758
2021-09-09,30-39yrs,1610
2021-09-09,40-49yrs,941
2021-09-09,50-59yrs,796
2021-09-09,60-69yrs,710
2021-09-09,70-79yrs,268
2021-09-09,80+,63
2021-09-10,12-17yrs,437
2021-09-10,18-29yrs,2948
2021-09-10,30-39yrs,1659
2021-09-10,40-49yrs,969
2021-09-10,50-59yrs,817
2021-09-10,60-69yrs,716
2021-09-10,70-79yrs,276
2021-09-10,80+,64
2021-09-11,12-17yrs,442
2021-09-11,18-29yrs,3047
2021-09-11,30-39yrs,1689
2021-09-11,40-49yrs,1003
2021-09-11,50-59yrs,830
2021-09-11,60-69yrs,729
2021-09-11,70-79yrs,274
2021-09-11,80+,65
2021-09-12,12-17yrs,442
2021-09-12,18-29yrs,3055
2021-09-12,30-39yrs,1700
2021-09-12,40-49yrs,1006
2021-09-12,50-59yrs,831
2021-09-12,60-69yrs,728
2021-09-12,70-79yrs,273
2021-09-12,80+,63
2021-09-13,12-17yrs,443
2021-09-13,18-29yrs,3065
2021-09-13,30-39yrs,1698
2021-09-13,40-49yrs,1006
2021-09-13,50-59yrs,832
2021-09-13,60-69yrs,729
2021-09-13,70-79yrs,273
2021-09-13,80+,63
2021-09-14,12-17yrs,452
2021-09-14,18-29yrs,3235
2021-09-14,30-39yrs,1748
2021-09-14,40-49yrs,1036
2021-09-14,50-59yrs,844
2021-09-14,60-69yrs,733
2021-09-14,70-79yrs,285
2021-09-14,80+,63
2021-09-15,12-17yrs,463
2021-09-15,18-29yrs,3343
2021-09-15,30-39yrs,1811
2021-09-15,40-49yrs,1061
2021-09-15,50-59yrs,858
2021-09-15,60-69yrs,742
2021-09-15,70-79yrs,287
2021-09-15,80+,64
2021-09-16,12-17yrs,470
2021-09-16,18-29yrs,3421
2021-09-16,30-39yrs,1809
2021-09-16,40-49yrs,1068
2021-09-16,50-59yrs,871
2021-09-16,60-69yrs,749
2021-09-16,70-79yrs,293
2021-09-16,80+,64
2021-09-17,12-17yrs,492
2021-09-17,18-29yrs,3504
2021-09-17,30-39yrs,1853
2021-09-17,40-49yrs,1086
2021-09-17,50-59yrs,892
2021-09-17,60-69yrs,753
2021-09-17,70-79yrs,295
2021-09-17,80+,67
2021-09-18,12-17yrs,496
2021-09-18,18-29yrs,3578
2021-09-18,30-39yrs,1889
2021-09-18,40-49yrs,1116
2021-09-18,50-59yrs,893
2021-09-18,60-69yrs,765
2021-09-18,70-79yrs,292
2021-09-18,80+,66
2021-09-19,12-17yrs,498
2021-09-19,18-29yrs,3602
2021-09-19,30-39yrs,1896
2021-09-19,40-49yrs,1119
2021-09-19,50-59yrs,903
2021-09-19,60-69yrs,763
2021-09-19,70-79yrs,292
2021-09-19,80+,66
2021-09-20,12-17yrs,504
2021-09-20,18-29yrs,3616
2021-09-20,30-39yrs,1917
2021-09-20,40-49yrs,1132
2021-09-20,50-59yrs,916
2021-09-20,60-69yrs,763
2021-09-20,70-79yrs,291
2021-09-20,80+,66
2021-09-21,12-17yrs,19
2021-09-21,18-29yrs,151
2021-09-21,30-39yrs,205
2021-09-21,40-49yrs,155
2021-09-21,50-59yrs,100
2021-09-21,60-69yrs,36
2021-09-21,70-79yrs,13
2021-09-21,80+,4
2021-09-22,12-17yrs,22
2021-09-22,18-29yrs,154
2021-09-22,30-39yrs,213
2021-09-22,40-49yrs,169
2021-09-22,50-59yrs,110
2021-09-22,60-69yrs,39
2021-09-22,70-79yrs,12
2021-09-22,80+,3
2021-09-23,12-17yrs,524
2021-09-23,18-29yrs,3807
2021-09-23,30-39yrs,2028
2021-09-23,40-49yrs,1222
2021-09-23,50-59yrs,972
2021-09-23,60-69yrs,794
2021-09-23,70-79yrs,304
2021-09-23,80+,73
2021-09-24,12-17yrs,532
2021-09-24,18-29yrs,3924
2021-09-24,30-39yrs,2106
2021-09-24,40-49yrs,1274
2021-09-24,50-59yrs,993
2021-09-24,60-69yrs,807
2021-09-24,70-79yrs,307
2021-09-24,80+,74
2021-09-25,12-17yrs,539
2021-09-25,18-29yrs,4050
2021-09-25,30-39yrs,2163
2021-09-25,40-49yrs,1321
2021-09-25,50-59yrs,1012
2021-09-25,60-69yrs,815
2021-09-25,70-79yrs,313
2021-09-25,80+,76
2021-09-26,12-17yrs,538
2021-09-26,18-29yrs,4078
2021-09-26,30-39yrs,2178
2021-09-26,40-49yrs,1345
2021-09-26,50-59yrs,1014
2021-09-26,60-69yrs,815
2021-09-26,70-79yrs,310
2021-09-26,80+,75
2021-09-27,12-17yrs,542
2021-09-27,18-29yrs,4098
2021-09-27,30-39yrs,2205
2021-09-27,40-49yrs,1391
2021-09-27,50-59yrs,1037
2021-09-27,60-69yrs,821
2021-09-27,70-79yrs,312
2021-09-27,80+,75
2021-09-28,12-17yrs,540
2021-09-28,18-29yrs,4251
2021-09-28,30-39yrs,2270
2021-09-28,40-49yrs,1435
2021-09-28,50-59yrs,1064
2021-09-28,60-69yrs,841
2021-09-28,70-79yrs,319
2021-09-28,80+,77
2021-09-29,12-17yrs,545
2021-09-29,18-29yrs,4455
2021-09-29,30-39yrs,2367
2021-09-29,40-49yrs,1501
2021-09-29,50-59yrs,1088
2021-09-29,60-69yrs,851
2021-09-29,70-79yrs,325
2021-09-29,80+,79
2021-09-30,12-17yrs,553
2021-09-30,18-29yrs,4564
2021-09-30,30-39yrs,2444
2021-09-30,40-49yrs,1556
2021-09-30,50-59yrs,1115
2021-09-30,60-69yrs,856
2021-09-30,70-79yrs,332
2021-09-30,80+,77
2021-10-01,12-17yrs,555
2021-10-01,18-29yrs,4644
2021-10-01,30-39yrs,2485
2021-10-01,40-49yrs,1577
2021-10-01,50-59yrs,1125
2021-10-01,60-69yrs,863
2021-10-01,70-79yrs,329
2021-10-01,80+,77
2021-10-02,12-17yrs,566
2021-10-02,18-29yrs,4801
2021-10-02,30-39yrs,2550
2021-10-02,40-49yrs,1613
