Date,age group,Total population, one dose cumulative
2021-08-05,50-59yrs,104381,87341
2021-08-05,60-69yrs,83972,75366
2021-08-05,70-79yrs,50080,47355
2021-08-05,80+,26420,26998
2021-08-06,12-17yrs,51038,35643
2021-08-06,18-29yrs,114063,81251
2021-08-06,30-39yrs,93632,76051
2021-08-06,40-49yrs,93719,77929
2021-08-06,50-59yrs,104381,87402
2021-08-06,60-69yrs,83972,75406
2021-08-06,70-79yrs,50080,47375
2021-08-06,80+,26420,27003
2021-08-07,12-17yrs,51038,35762
2021-08-07,18-29yrs,114063,81382
2021-08-07,30-39yrs,93632,76160
2021-08-07,40-49yrs,93719,78023
2021-08-07,50-59yrs,104381,87463
2021-08-07,60-69yrs,83972,75455
2021-08-07,70-79yrs,50080,47394
2021-08-07,80+,26420,27003
2021-08-08,12-17yrs,51038,35865
2021-08-08,18-29yrs,114063,81492
2021-08-08,30-39yrs,93632,76251
2021-08-08,40-49yrs,93719,78065
2021-08-08,50-59yrs,104381,87496
2021-08-08,60-69yrs,83972,75468
2021-08-08,70-79yrs,50080,47400
2021-08-08,80+,26420,27004
2021-08-09,12-17yrs,51038,35953
2021-08-09,18-29yrs,114063,81574
2021-08-09,30-39yrs,93632,76320
2021-08-09,40-49yrs,93719,78095
2021-08-09,50-59yrs,104381,87518
2021-08-09,60-69yrs,83972,75490
2021-08-09,70-79yrs,50080,47406
2021-08-09,80+,26420,27008
2021-08-10,12-17yrs,51038,36074
2021-08-10,18-29yrs,114063,81687
2021-08-10,30-39yrs,93632,76419
2021-08-10,40-49yrs,93719,78169
2021-08-10,50-59yrs,104381,87572
2021-08-10,60-69yrs,83972,75521
2021-08-10,70-79yrs,50080,47416
2021-08-10,80+,26420,27011
2021-08-11,12-17yrs,51038,36171
2021-08-11,18-29yrs,114063,81754
2021-08-11,30-39yrs,93632,76465
2021-08-11,40-49yrs,93719,78186
2021-08-11,50-59yrs,104381,87560
2021-08-11,60-69yrs,83972,75473
2021-08-11,70-79yrs,50080,47387
2021-08-11,80+,26420,27006
2021-08-12,12-17yrs,51038,36289
2021-08-12,18-29yrs,114063,81857
2021-08-12,30-39yrs,93632,76568
2021-08-12,40-49yrs,93719,78246
2021-08-12,50-59yrs,104381,87621
2021-08-12,60-69yrs,83972,75508
2021-08-12,70-79yrs,50080,47404
2021-08-12,80+,26420,27012
2021-08-13,12-17yrs,51038,36402
2021-08-13,18-29yrs,114063,82001
2021-08-13,30-39yrs,93632,76719
2021-08-13,40-49yrs,93719,78369
2021-08-13,50-59yrs,104381,87752
