Date,age group,Total population, one dose cumulative
2021-08-15,40-49yrs,71673,55026
2021-08-15,50-59yrs,80704,65216
2021-08-15,60-69yrs,72258,63371
2021-08-15,70-79yrs,45295,42514
2021-08-15,80+,28319,27566
2021-08-16,12-17yrs,37018,23809
2021-08-16,18-29yrs,100237,66528
2021-08-16,30-39yrs,84056,60148
2021-08-16,40-49yrs,71673,55072
2021-08-16,50-59yrs,80704,65253
2021-08-16,60-69yrs,72258,63391
2021-08-16,70-79yrs,45295,42518
2021-08-16,80+,28319,27566
2021-08-17,12-17yrs,37018,23914
2021-08-17,18-29yrs,100237,66706
2021-08-17,30-39yrs,84056,60251
2021-08-17,40-49yrs,71673,55153
2021-08-17,50-59yrs,80704,65320
2021-08-17,60-69yrs,72258,63428
2021-08-17,70-79yrs,45295,42530
2021-08-17,80+,28319,27569
2021-08-18,12-17yrs,37018,23989
2021-08-18,18-29yrs,100237,66886
2021-08-18,30-39yrs,84056,60356
2021-08-18,40-49yrs,71673,55246
2021-08-18,50-59yrs,80704,65389
2021-08-18,60-69yrs,72258,63463
2021-08-18,70-79yrs,45295,42547
2021-08-18,80+,28319,27577
2021-08-19,12-17yrs,37018,24230
2021-08-19,18-29yrs,100237,67064
2021-08-19,30-39yrs,84056,60464
2021-08-19,40-49yrs,71673,55332
2021-08-19,50-59yrs,80704,65469
2021-08-19,60-69yrs,72258,63502
2021-08-19,70-79yrs,45295,42563
2021-08-19,80+,28319,27588
2021-08-20,12-17yrs,37018,24420
2021-08-20,18-29yrs,100237,67245
2021-08-20,30-39yrs,84056,60586
2021-08-20,40-49yrs,71673,55422
2021-08-20,50-59yrs,80704,65562
2021-08-20,60-69yrs,72258,63533
2021-08-20,70-79yrs,45295,42579
2021-08-20,80+,28319,27591
2021-08-21,12-17yrs,37018,24600
2021-08-21,18-29yrs,100237,67432
2021-08-21,30-39yrs,84056,60734
2021-08-21,40-49yrs,71673,55511
2021-08-21,50-59yrs,80704,65629
2021-08-21,60-69yrs,72258,63586
2021-08-21,70-79yrs,45295,42604
2021-08-21,80+,28319,27604
2021-08-22,12-17yrs,37018,24820
2021-08-22,18-29yrs,100237,67581
2021-08-22,30-39yrs,84056,60835
2021-08-22,40-49yrs,71673,55599
2021-08-22,50-59yrs,80704,65670
2021-08-22,60-69yrs,72258,63618
2021-08-22,70-79yrs,45295,42620
2021-08-22,80+,28319,27610
2021-08-23,12-17yrs,37018,24939
2021-08-23,18-29yrs,100237,67676
2021-08-23,30-39yrs,84056,60894
2021-08-23,40-49yrs,71673,55644
2021-08-23,50-59yrs,80704,65697
2021-08-23,60-69yrs,72258,63634
2021-08-23,70-79yrs,45295,42622
2021-08-23,80+,28319,27611
2021-08-24,12-17yrs,37018,25131
2021-08-24,18-29yrs,100237,67853
2021-08-24,30-39yrs,84056,61013
2021-08-24,40-49yrs,71673,55723
2021-08-24,50-59yrs,80704,65784
2021-08-24,60-69yrs,72258,63675
2021-08-24,70-79yrs,45295,42630
2021-08-24,80+,28319,27615
2021-08-25,12-17yrs,37018,25290
2021-08-25,18-29yrs,100237,68047
2021-08-25,30-39yrs,84056,61140
2021-08-25,40-49yrs,71673,55814
2021-08-25,50-59yrs,80704,65842
2021-08-25,60-69yrs,72258,63708
2021-08-25,70-79yrs,45295,42648
2021-08-25,80+,28319,27623
2021-08-26,12-17yrs,37018,25485
2021-08-26,18-29yrs,100237,68251
2021-08-26,30-39yrs,84056,61259
2021-08-26,40-49yrs,71673,55924
2021-08-26,50-59yrs,80704,65919
2021-08-26,60-69yrs,72258,63755
2021-08-26,70-79yrs,45295,42667
2021-08-26,80+,28319,27632
2021-08-27,12-17yrs,37018,25626
2021-08-27,18-29yrs,100237,68414
2021-08-27,30-39yrs,84056,61386
2021-08-27,40-49yrs,71673,56006
2021-08-27,50-59yrs,80704,65985
2021-08-27,60-69yrs,72258,63786
2021-08-27,70-79yrs,45295,42682
2021-08-27,80+,28319,27634
2021-08-28,12-17yrs,37018,25744
2021-08-28,18-29yrs,100237,68591
2021-08-28,30-39yrs,84056,61507
2021-08-28,40-49yrs,71673,56103
2021-08-28,50-59yrs,80704,66041
2021-08-28,60-69yrs,72258,63818
2021-08-28,70-79yrs,45295,42702
2021-08-28,80+,28319,27639
2021-08-29,12-17yrs,37018,25887
2021-08-29,18-29yrs,100237,68758
2021-08-29,30-39yrs,84056,61610
2021-08-29,40-49yrs,71673,56175
2021-08-29,50-59yrs,80704,66088
2021-08-29,60-69yrs,72258,63847
2021-08-29,70-79yrs,45295,42711
