2021-08-14,60-69yrs,0,634
2021-08-14,70-79yrs,0,249
2021-08-14,80+,0,58
2021-08-15,12-17yrs,0,324
2021-08-15,18-29yrs,0,1885
2021-08-15,30-39yrs,0,1227
2021-08-15,40-49yrs,0,680
2021-08-15,50-59yrs,0,652
2021-08-15,60-69yrs,0,637
2021-08-15,70-79yrs,0,251
2021-08-15,80+,0,60
2021-08-16,12-17yrs,0,324
2021-08-16,18-29yrs,0,1895
2021-08-16,30-39yrs,0,1234
2021-08-16,40-49yrs,0,680
2021-08-16,50-59yrs,0,658
2021-08-16,60-69yrs,0,639
2021-08-16,70-79yrs,0,252
2021-08-16,80+,0,60
2021-08-17,12-17yrs,0,330
2021-08-17,18-29yrs,0,1935
2021-08-17,30-39yrs,0,1261
2021-08-17,40-49yrs,0,698
2021-08-17,50-59yrs,0,666
2021-08-17,60-69yrs,0,650
2021-08-17,70-79yrs,0,259
2021-08-17,80+,0,60
2021-08-18,12-17yrs,0,338
2021-08-18,18-29yrs,0,1973
2021-08-18,30-39yrs,0,1281
2021-08-18,40-49yrs,0,713
2021-08-18,50-59yrs,0,674
2021-08-18,60-69yrs,0,659
2021-08-18,70-79yrs,0,259
2021-08-18,80+,0,63
2021-08-19,12-17yrs,0,344
2021-08-19,18-29yrs,0,1995
2021-08-19,30-39yrs,0,1294
2021-08-19,40-49yrs,0,720
2021-08-19,50-59yrs,0,676
2021-08-19,60-69yrs,0,663
2021-08-19,70-79yrs,0,262
2021-08-19,80+,0,64
2021-08-20,12-17yrs,0,348
2021-08-20,18-29yrs,0,2023
2021-08-20,30-39yrs,0,1308
2021-08-20,40-49yrs,0,725
2021-08-20,50-59yrs,0,683
2021-08-20,60-69yrs,0,662
2021-08-20,70-79yrs,0,265
2021-08-20,80+,0,63
2021-08-21,12-17yrs,0,347
2021-08-21,18-29yrs,0,2046
2021-08-21,30-39yrs,0,1325
2021-08-21,40-49yrs,0,738
2021-08-21,50-59yrs,0,694
2021-08-21,60-69yrs,0,665
2021-08-21,70-79yrs,0,263
2021-08-21,80+,0,62
2021-08-22,12-17yrs,0,347
2021-08-22,18-29yrs,0,2045
2021-08-22,30-39yrs,0,1328
2021-08-22,40-49yrs,0,739
2021-08-22,50-59yrs,0,696
2021-08-22,60-69yrs,0,665
2021-08-22,70-79yrs,0,265
2021-08-22,80+,0,62
2021-08-23,12-17yrs,0,348
2021-08-23,18-29yrs,0,2048
2021-08-23,30-39yrs,0,1329
2021-08-23,40-49yrs,0,740
2021-08-23,50-59yrs,0,695
2021-08-23,60-69yrs,0,665
2021-08-23,70-79yrs,0,265
2021-08-23,80+,0,62
2021-08-24,12-17yrs,0,353
2021-08-24,18-29yrs,0,2061
2021-08-24,30-39yrs,0,1335
2021-08-24,40-49yrs,0,744
2021-08-24,50-59yrs,0,698
2021-08-24,60-69yrs,0,664
2021-08-24,70-79yrs,0,268
2021-08-24,80+,0,62
2021-08-25,12-17yrs,0,355
2021-08-25,18-29yrs,0,2096
2021-08-25,30-39yrs,0,1345
2021-08-25,40-49yrs,0,752
2021-08-25,50-59yrs,0,708
2021-08-25,60-69yrs,0,661
2021-08-25,70-79yrs,0,268
2021-08-25,80+,0,62
2021-08-26,12-17yrs,0,365
2021-08-26,18-29yrs,0,2142
2021-08-26,30-39yrs,0,1366
2021-08-26,40-49yrs,0,777
2021-08-26,50-59yrs,0,718
2021-08-26,60-69yrs,0,669
2021-08-26,70-79yrs,0,271
2021-08-26,80+,0,61
2021-08-27,12-17yrs,0,366
2021-08-27,18-29yrs,0,2171
2021-08-27,30-39yrs,0,1376
2021-08-27,40-49yrs,0,783
2021-08-27,50-59yrs,0,721
2021-08-27,60-69yrs,0,671
2021-08-27,70-79yrs,0,271
2021-08-27,80+,0,63
2021-08-28,12-17yrs,0,368
2021-08-28,18-29yrs,0,2198
2021-08-28,30-39yrs,0,1389
2021-08-28,40-49yrs,0,793
2021-08-28,50-59yrs,0,727
2021-08-28,60-69yrs,0,674
2021-08-28,70-79yrs,0,272
2021-08-28,80+,0,63
2021-08-29,12-17yrs,0,368
2021-08-29,18-29yrs,0,2191
2021-08-29,30-39yrs,0,1388
2021-08-29,40-49yrs,0,797
2021-08-29,50-59yrs,0,730
2021-08-29,60-69yrs,0,677
2021-08-29,70-79yrs,0,273
2021-08-29,80+,0,63
2021-08-30,12-17yrs,0,372
2021-08-30,18-29yrs,0,2210
2021-08-30,30-39yrs,0,1399
2021-08-30,40-49yrs,0,808
2021-08-30,50-59yrs,0,736
2021-08-30,60-69yrs,0,679
2021-08-30,70-79yrs,0,273
2021-08-30,80+,0,63
2021-08-31,12-17yrs,0,379
2021-08-31,18-29yrs,0,2287
2021-08-31,30-39yrs,0,1407
2021-08-31,40-49yrs,0,816
2021-08-31,50-59yrs,0,737
2021-08-31,60-69yrs,0,681
2021-08-31,70-79yrs,0,275
2021-08-31,80+,0,64
2021-09-01,12-17yrs,0,378
2021-09-01,18-29yrs,0,2346
2021-09-01,30-39yrs,0,1426
2021-09-01,40-49yrs,0,833
2021-09-01,50-59yrs,0,749
2021-09-01,60-69yrs,0,685
2021-09-01,70-79yrs,0,277
2021-09-01,80+,0,63
2021-09-02,12-17yrs,0,385
2021-09-02,18-29yrs,0,2408
2021-09-02,30-39yrs,0,1446
2021-09-02,40-49yrs,0,855
2021-09-02,50-59yrs,0,760
2021-09-02,60-69yrs,0,694
2021-09-02,70-79yrs,0,276
2021-09-02,80+,0,63
2021-09-03,12-17yrs,0,390
2021-09-03,18-29yrs,0,2495
2021-09-03,30-39yrs,0,1471
2021-09-03,40-49yrs,0,864
2021-09-03,50-59yrs,0,770
2021-09-03,60-69yrs,0,701
2021-09-03,70-79yrs,0,276
2021-09-03,80+,0,63
2021-09-04,12-17yrs,0,402
2021-09-04,18-29yrs,0,2534
2021-09-04,30-39yrs,0,1507
2021-09-04,40-49yrs,0,866
2021-09-04,50-59yrs,0,756
2021-09-04,60-69yrs,0,689
2021-09-04,70-79yrs,0,265
2021-09-04,80+,0,62
2021-09-05,12-17yrs,0,402
2021-09-05,18-29yrs,0,2542
2021-09-05,30-39yrs,0,1505
2021-09-05,40-49yrs,0,865
2021-09-05,50-59yrs,0,753
2021-09-05,60-69yrs,0,687
2021-09-05,70-79yrs,0,265
2021-09-05,80+,0,62
2021-09-06,12-17yrs,0,406
2021-09-06,18-29yrs,0,2576
2021-09-06,30-39yrs,0,1512
2021-09-06,40-49yrs,0,872
2021-09-06,50-59yrs,0,759
2021-09-06,60-69yrs,0,686
2021-09-06,70-79yrs,0,266
2021-09-06,80+,0,62
2021-09-07,12-17yrs,0,412
2021-09-07,18-29yrs,0,2610
2021-09-07,30-39yrs,0,1526
2021-09-07,40-49yrs,0,876
2021-09-07,50-59yrs,0,768
2021-09-07,60-69yrs,0,691
2021-09-07,70-79yrs,0,269
2021-09-07,80+,0,62
2021-09-08,12-17yrs,0,424
2021-09-08,18-29yrs,0,2702
2021-09-08,30-39yrs,0,1583
2021-09-08,40-49yrs,0,912
2021-09-08,50-59yrs,0,788
2021-09-08,60-69yrs,0,705
2021-09-08,70-79yrs,0,273
2021-09-08,80+,0,62
2021-09-09,12-17yrs,0,431
2021-09-09,18-29yrs,0,2758
2021-09-09,30-39yrs,0,1610
2021-09-09,40-49yrs,0,941
2021-09-09,50-59yrs,0,796
2021-09-09,60-69yrs,0,710
2021-09-09,70-79yrs,0,268
2021-09-09,80+,0,63
2021-09-10,12-17yrs,0,437
2021-09-10,18-29yrs,0,2948
2021-09-10,30-39yrs,0,1659
2021-09-10,40-49yrs,0,969
2021-09-10,50-59yrs,0,817
2021-09-10,60-69yrs,0,716
2021-09-10,70-79yrs,0,276
2021-09-10,80+,0,64
2021-09-11,12-17yrs,0,442
2021-09-11,18-29yrs,0,3047
2021-09-11,30-39yrs,0,1689
2021-09-11,40-49yrs,0,1003
2021-09-11,50-59yrs,0,830
2021-09-11,60-69yrs,0,729
2021-09-11,70-79yrs,0,274
2021-09-11,80+,0,65
2021-09-12,12-17yrs,0,442
2021-09-12,18-29yrs,0,3055
2021-09-12,30-39yrs,0,1700
2021-09-12,40-49yrs,0,1006
2021-09-12,50-59yrs,0,831
2021-09-12,60-69yrs,0,728
2021-09-12,70-79yrs,0,273
2021-09-12,80+,0,63
2021-09-13,12-17yrs,0,443
2021-09-13,18-29yrs,0,3065
2021-09-13,30-39yrs,0,1698
2021-09-13,40-49yrs,0,1006
2021-09-13,50-59yrs,0,832
2021-09-13,60-69yrs,0,729
2021-09-13,70-79yrs,0,273
2021-09-13,80+,0,63
2021-09-14,12-17yrs,0,452
2021-09-14,18-29yrs,0,3235
2021-09-14,30-39yrs,0,1748
2021-09-14,40-49yrs,0,1036
2021-09-14,50-59yrs,0,844
2021-09-14,60-69yrs,0,733
2021-09-14,70-79yrs,0,285
2021-09-14,80+,0,63
2021-09-15,12-17yrs,0,463
2021-09-15,18-29yrs,0,3343
2021-09-15,30-39yrs,0,1811
2021-09-15,40-49yrs,0,1061
2021-09-15,50-59yrs,0,858
2021-09-15,60-69yrs,0,742
2021-09-15,70-79yrs,0,287
2021-09-15,80+,0,64
2021-09-16,12-17yrs,0,470
2021-09-16,18-29yrs,0,3421
2021-09-16,30-39yrs,0,1809
2021-09-16,40-49yrs,0,1068
2021-09-16,50-59yrs,0,871
2021-09-16,60-69yrs,0,749
2021-09-16,70-79yrs,0,293
2021-09-16,80+,0,64
2021-09-17,12-17yrs,0,492
2021-09-17,18-29yrs,0,3504
2021-09-17,30-39yrs,0,1853
2021-09-17,40-49yrs,0,1086
2021-09-17,50-59yrs,0,892
2021-09-17,60-69yrs,0,753
2021-09-17,70-79yrs,0,295
2021-09-17,80+,0,67
2021-09-18,12-17yrs,0,496
2021-09-18,18-29yrs,0,3578
2021-09-18,30-39yrs,0,1889
2021-09-18,40-49yrs,0,1116
2021-09-18,50-59yrs,0,893
2021-09-18,60-69yrs,0,765
2021-09-18,70-79yrs,0,292
2021-09-18,80+,0,66
2021-09-19,12-17yrs,0,498
2021-09-19,18-29yrs,0,3602
2021-09-19,30-39yrs,0,1896
2021-09-19,40-49yrs,0,1119
2021-09-19,50-59yrs,0,903
2021-09-19,60-69yrs,0,763
2021-09-19,70-79yrs,0,292
2021-09-19,80+,0,66
