Date,age group,Total population, one dose cumulative
2021-09-26,12-17yrs,5754,4347
2021-09-26,18-29yrs,12232,9447
2021-09-26,30-39yrs,9754,7774
2021-09-26,40-49yrs,9835,7941
2021-09-26,50-59yrs,11988,10240
2021-09-26,60-69yrs,12077,11138
2021-09-26,70-79yrs,6754,6747
2021-09-26,80+,3632,3736
2021-09-27,12-17yrs,5754,4353
2021-09-27,18-29yrs,12232,9459
2021-09-27,30-39yrs,9754,7782
2021-09-27,40-49yrs,9835,7954
2021-09-27,50-59yrs,11988,10242
2021-09-27,60-69yrs,12077,11138
2021-09-27,70-79yrs,6754,6748
2021-09-27,80+,3632,3736
2021-09-28,12-17yrs,5754,4364
2021-09-28,18-29yrs,12232,9496
2021-09-28,30-39yrs,9754,7802
2021-09-28,40-49yrs,9835,7967
2021-09-28,50-59yrs,11988,10258
2021-09-28,60-69yrs,12077,11141
2021-09-28,70-79yrs,6754,6752
2021-09-28,80+,3632,3737
2021-09-29,12-17yrs,5754,4385
2021-09-29,18-29yrs,12232,9545
2021-09-29,30-39yrs,9754,7843
2021-09-29,40-49yrs,9835,7990
2021-09-29,50-59yrs,11988,10276
2021-09-29,60-69yrs,12077,11158
2021-09-29,70-79yrs,6754,6759
2021-09-29,80+,3632,3742
2021-09-30,12-17yrs,5754,4404
2021-09-30,18-29yrs,12232,9582
2021-09-30,30-39yrs,9754,7882
2021-09-30,40-49yrs,9835,8021
2021-09-30,50-59yrs,11988,10289
2021-09-30,60-69yrs,12077,11171
2021-09-30,70-79yrs,6754,6767
2021-09-30,80+,3632,3745
2021-10-01,12-17yrs,5754,4421
2021-10-01,18-29yrs,12232,9611
2021-10-01,30-39yrs,9754,7908
2021-10-01,40-49yrs,9835,8036
2021-10-01,50-59yrs,11988,10294
2021-10-01,60-69yrs,12077,11176
2021-10-01,70-79yrs,6754,6769
2021-10-01,80+,3632,3745
2021-10-02,12-17yrs,5754,4444
2021-10-02,18-29yrs,12232,9678
2021-10-02,30-39yrs,9754,7949
2021-10-02,40-49yrs,9835,8088
2021-10-02,50-59yrs,11988,10312
2021-10-02,60-69yrs,12077,11188
2021-10-02,70-79yrs,6754,6776
2021-10-02,80+,3632,3746
2021-10-03,12-17yrs,5754,4451
2021-10-03,18-29yrs,12232,9693
2021-10-03,30-39yrs,9754,7955
2021-10-03,40-49yrs,9835,8094
2021-10-03,50-59yrs,11988,10315
2021-10-03,60-69yrs,12077,11190
2021-10-03,70-79yrs,6754,6776
2021-10-03,80+,3632,3746
2021-10-04,12-17yrs,5754,4455
2021-10-04,18-29yrs,12232,9706
2021-10-04,30-39yrs,9754,7963
2021-10-04,40-49yrs,9835,8099
2021-10-04,50-59yrs,11988,10318
2021-10-04,60-69yrs,12077,11191
2021-10-04,70-79yrs,6754,6777
2021-10-04,80+,3632,3746
2021-10-05,12-17yrs,5754,4471
2021-10-05,18-29yrs,12232,9744
2021-10-05,30-39yrs,9754,7987
2021-10-05,40-49yrs,9835,8120
2021-10-05,50-59yrs,11988,10334
2021-10-05,60-69yrs,12077,11200
2021-10-05,70-79yrs,6754,6783
2021-10-05,80+,3632,3747
2021-10-06,12-17yrs,5754,4474
2021-10-06,18-29yrs,12232,9779
2021-10-06,30-39yrs,9754,8008
2021-10-06,40-49yrs,9835,8141
2021-10-06,50-59yrs,11988,10351
2021-10-06,60-69yrs,12077,11212
2021-10-06,70-79yrs,6754,6793
2021-10-06,80+,3632,3753
2021-10-07,12-17yrs,5754,4496
2021-10-07,18-29yrs,12232,9820
2021-10-07,30-39yrs,9754,8056
2021-10-07,40-49yrs,9835,8166
2021-10-07,50-59yrs,11988,10368
2021-10-07,60-69yrs,12077,11224
2021-10-07,70-79yrs,6754,6801
2021-10-07,80+,3632,3754
2021-10-08,12-17yrs,5754,4524
2021-10-08,18-29yrs,12232,9873
2021-10-08,30-39yrs,9754,8100
2021-10-08,40-49yrs,9835,8192
2021-10-08,50-59yrs,11988,10394
2021-10-08,60-69yrs,12077,11242
2021-10-08,70-79yrs,6754,6808
2021-10-08,80+,3632,3759
2021-10-09,12-17yrs,5754,4551
2021-10-09,18-29yrs,12232,9931
2021-10-09,30-39yrs,9754,8146
2021-10-09,40-49yrs,9835,8216
2021-10-09,50-59yrs,11988,10407
2021-10-09,60-69yrs,12077,11259
2021-10-09,70-79yrs,6754,6817
2021-10-09,80+,3632,3762
2021-10-10,12-17yrs,5754,4560
2021-10-10,18-29yrs,12232,9952
2021-10-10,30-39yrs,9754,8173
2021-10-10,40-49yrs,9835,8233
2021-10-10,50-59yrs,11988,10412
2021-10-10,60-69yrs,12077,11265
2021-10-10,70-79yrs,6754,6818
2021-10-10,80+,3632,3762
2021-10-11,12-17yrs,5754,4564
2021-10-11,18-29yrs,12232,9956
2021-10-11,30-39yrs,9754,8183
2021-10-11,40-49yrs,9835,8235
2021-10-11,50-59yrs,11988,10416
2021-10-11,60-69yrs,12077,11266
2021-10-11,70-79yrs,6754,6819
2021-10-11,80+,3632,3762
2021-10-12,12-17yrs,5754,4573
2021-10-12,18-29yrs,12232,9962
2021-10-12,30-39yrs,9754,8194
2021-10-12,40-49yrs,9835,8242
2021-10-12,50-59yrs,11988,10418
2021-10-12,60-69yrs,12077,11267
2021-10-12,70-79yrs,6754,6819
2021-10-12,80+,3632,3762
2021-10-13,12-17yrs,5754,4594
2021-10-13,18-29yrs,12232,10006
2021-10-13,30-39yrs,9754,8231
2021-10-13,40-49yrs,9835,8257
2021-10-13,50-59yrs,11988,10428
2021-10-13,60-69yrs,12077,11274
2021-10-13,70-79yrs,6754,6823
2021-10-13,80+,3632,3764
2021-10-14,12-17yrs,5754,4622
2021-10-14,18-29yrs,12232,10046
2021-10-14,30-39yrs,9754,8276
2021-10-14,40-49yrs,9835,8285
2021-10-14,50-59yrs,11988,10448
2021-10-14,60-69yrs,12077,11287
2021-10-14,70-79yrs,6754,6826
2021-10-14,80+,3632,3765
2021-10-15,12-17yrs,5754,4638
2021-10-15,18-29yrs,12232,10075
2021-10-15,30-39yrs,9754,8307
2021-10-15,40-49yrs,9835,8298
2021-10-15,50-59yrs,11988,10463
2021-10-15,60-69yrs,12077,11293
2021-10-15,70-79yrs,6754,6829
2021-10-15,80+,3632,3766
2021-10-16,12-17yrs,5754,4665
2021-10-16,18-29yrs,12232,10122
2021-10-16,30-39yrs,9754,8335
2021-10-16,40-49yrs,9835,8314
2021-10-16,50-59yrs,11988,10473
2021-10-16,60-69yrs,12077,11297
2021-10-16,70-79yrs,6754,6831
2021-10-16,80+,3632,3767
2021-10-17,12-17yrs,5754,4673
2021-10-17,18-29yrs,12232,10126
2021-10-17,30-39yrs,9754,8339
2021-10-17,40-49yrs,9835,8318
2021-10-17,50-59yrs,11988,10477
2021-10-17,60-69yrs,12077,11300
2021-10-17,70-79yrs,6754,6831
2021-10-17,80+,3632,3767
2021-10-18,12-17yrs,5754,4674
2021-10-18,18-29yrs,12232,10129
2021-10-18,30-39yrs,9754,8345
2021-10-18,40-49yrs,9835,8321
2021-10-18,50-59yrs,11988,10477
2021-10-18,60-69yrs,12077,11300
2021-10-18,70-79yrs,6754,6831
2021-10-18,80+,3632,3767
2021-10-19,12-17yrs,5754,4695
2021-10-19,18-29yrs,12232,10162
2021-10-19,30-39yrs,9754,8370
2021-10-19,40-49yrs,9835,8328
2021-10-19,50-59yrs,11988,10488
2021-10-19,60-69yrs,12077,11309
2021-10-19,70-79yrs,6754,6834
2021-10-19,80+,3632,3769
2021-10-20,12-17yrs,5754,4701
