Date,PHU_num,one_or_more_doses_cumulative
2021-07-31,5183,100210
2021-07-31,9999,0
2021-07-31,35,62547135
2021-08-01,2226,82890
2021-08-01,2227,107722
2021-08-01,2230,505436
2021-08-01,2233,118817
2021-08-01,2234,73628
2021-08-01,2235,139010
2021-08-01,2236,448428
2021-08-01,2237,397689
2021-08-01,2238,116087
2021-08-01,2240,70435
2021-08-01,2241,156758
2021-08-01,2242,87552
2021-08-01,2243,136704
2021-08-01,2244,365517
2021-08-01,2246,338396
2021-08-01,2247,89762
2021-08-01,2249,58845
2021-08-01,2251,775604
2021-08-01,2253,1117337
2021-08-01,2255,105269
2021-08-01,2256,55785
2021-08-01,2257,72553
2021-08-01,2258,146153
2021-08-01,2260,418056
2021-08-01,2261,137464
2021-08-01,2262,112820
2021-08-01,2263,22391
2021-08-01,2265,424803
2021-08-01,2266,220657
2021-08-01,2268,290262
2021-08-01,2270,861400
2021-08-01,3895,2176892
2021-08-01,4913,143983
2021-08-01,5183,100338
2021-08-01,9999,0
2021-08-01,35,73022578
2021-08-02,2226,82893
2021-08-02,2227,107744
2021-08-02,2230,505909
2021-08-02,2233,118828
2021-08-02,2234,73636
2021-08-02,2235,139085
2021-08-02,2236,448642
2021-08-02,2237,397991
2021-08-02,2238,116105
2021-08-02,2240,70437
2021-08-02,2241,156915
2021-08-02,2242,87558
2021-08-02,2243,136740
2021-08-02,2244,365664
2021-08-02,2246,338578
2021-08-02,2247,89789
2021-08-02,2249,58847
2021-08-02,2251,776055
2021-08-02,2253,1118652
2021-08-02,2255,105291
2021-08-02,2256,55796
2021-08-02,2257,72555
2021-08-02,2258,146171
2021-08-02,2260,418536
2021-08-02,2261,137514
2021-08-02,2262,112832
2021-08-02,2263,22391
2021-08-02,2265,425087
2021-08-02,2266,220698
2021-08-02,2268,290418
2021-08-02,2270,861968
2021-08-02,3895,2178614
2021-08-02,4913,144012
2021-08-02,5183,100345
2021-08-02,9999,0
2021-08-02,35,83504874
2021-08-03,2226,82925
2021-08-03,2227,107753
2021-08-03,2230,506239
2021-08-03,2233,118860
2021-08-03,2234,73642
2021-08-03,2235,139136
2021-08-03,2236,448770
2021-08-03,2237,398218
2021-08-03,2238,116149
2021-08-03,2240,70443
2021-08-03,2241,156997
2021-08-03,2242,87568
2021-08-03,2243,136774
2021-08-03,2244,365838
2021-08-03,2246,338653
2021-08-03,2247,89809
